Ca_in,Ca_b,H,H_AQ,H_bretherton,deviation_from_AQ_percent,m,speed_ratio,bubble_pressure_excess,route,film_elements,bulk_resolution_over_R0,stagnant_film_residual,void_volume_error,ndof
0.0001,0.0001005756833,0.002866047987,0.002871824174,0.002892591711,-0.20113,0.005723881743,1.005756833,2.879592064,transient+stationary,3,0.1,-1.076e-10,-1.344e-08,370819
0.0002,0.0002018267603,0.004535853959,0.004549632327,0.004601975569,-0.30285,0.009051133946,1.009133802,2.892251314,transient+stationary,3,0.1,-3.646e-09,-1.634e-08,239554
0.0005,0.0005084048213,0.008300385714,0.008342158136,0.008519842826,-0.50074,0.01653187503,1.016809643,2.920232682,transient+stationary,3,0.1,-1.274e-07,-2.116e-08,134640
0.001,0.001026662216,0.01307076461,0.01316368383,0.01361163188,-0.70588,0.02597068433,1.026662216,2.955005608,transient+stationary,3,0.1,-9.048e-07,9.77e-15,64897
0.002,0.002084579782,0.02050213435,0.020696535,0.02182583278,-0.93929,0.04058393118,1.042289891,3.008327201,transient+stationary,3,0.1,-1.033e-05,1.09e-10,48470
0.005,0.005389236926,0.03681763265,0.03728095498,0.04111276262,-1.24279,0.07227972723,1.077847385,3.124216273,transient+stationary,3,0.1,-5.913e-05,6.173e-14,32494
0.01,0.01123573141,0.05666788041,0.05745755152,0.06709539419,-1.37436,0.1101245122,1.123573141,3.266675198,transient+stationary,3,0.1,-0.0001598,1.554e-15,23832
0.02,0.02392233131,0.08581388543,0.08691526291,0.111043756,-1.26719,0.1642637479,1.196116566,3.485817625,transient+stationary,3,0.1,-0.000362,2.989e-10,18299
0.05,0.06791310495,0.1421635304,0.1430277774,0.2226353899,-0.60425,0.2641165914,1.358262099,3.981722197,transient+stationary,3,0.1,-0.0004775,2.913e-12,13984
0.1,0.1550875602,0.1971262646,0.1964581795,0.386079242,0.34006,0.355393765,1.550875602,4.655142032,transient+stationary,3,0.1,-0.0002959,2.332e-11,12141
0.15,0.2536978693,0.231137232,0.2290609334,0.5360060469,0.90644,0.408850044,1.691319128,5.269677027,transient+stationary,3,0.1,-0.0001768,-2.22e-16,11989
0.2,0.3596897877,0.2543808409,0.2513650367,0.6764627411,1.19977,0.4440520696,1.798448939,5.860550135,transient+stationary,3,0.1,-0.000156,8.882e-15,11608
0.3,0.5848797972,0.2838659444,0.2801867796,0.935411898,1.31311,0.4871520144,1.949599324,7.009538068,transient+stationary,3,0.1,-0.0001519,1.652e-13,11435
0.4,0.8199171402,0.3016014304,0.2981974255,1.171669486,1.14153,0.5122394379,2.04979285,8.136850384,transient+stationary,3,0.1,-0.0001919,1.776e-15,11524
0.4788,1.008952822,0.3111973292,0.3083338787,1.34546493,0.92869,0.5255508807,2.107253179,9.016697136,transient+stationary,3,0.1,-0.0002156,8.882e-16,11509
0.5,1.060198166,0.3133366616,0.310646759,1.390645736,0.86590,0.5284934597,2.120396332,9.252496379,transient+stationary,3,0.1,-0.0002193,2.459e-12,11202
0.7,1.548762971,0.3277926919,0.326953758,1.790393313,0.25659,0.5481373349,2.212518529,11.46711943,transient+stationary,3,0.1,-0.0002455,4.441e-16,11131
1,2.290618181,0.3393568223,0.3412656358,2.324129261,-0.55933,0.5635505917,2.290618181,14.76822423,continuation,3,0.1,-0.0002611,2.667e-13,11131
1.5,3.535869909,0.348764088,0.3543410924,3.104245033,-1.57391,0.575891787,2.357246606,20.25554504,continuation,3,0.1,-0.0002724,-1.443e-15,11131
2,4.785294267,0.3536024186,0.3618873496,3.798081174,-2.28937,0.5821701668,2.392647134,25.74382579,continuation,3,0.1,-0.0002806,1.577e-14,11131
2.5,6.036519408,0.356558716,0.3669025516,4.434209522,-2.81923,0.5859833141,2.414607763,31.23822295,continuation,3,0.1,-0.0003121,1.11e-15,11131
3,7.288753912,0.358547385,0.3705231333,5.027985321,-3.23212,0.5885385427,2.429584637,36.73897822,continuation,3,0.1,-0.0003196,-2.109e-15,11131
4,9.795053499,0.3610471785,0.375471343,6.122982493,-3.84162,0.5917392919,2.448763375,47.75629884,continuation,3,0.1,-0.0002661,1.554e-15,11131
5,12.30289695,0.3625935193,0.378745816,7.127929577,-4.26468,0.5937129784,2.46057939,58.79187225,continuation,3,0.1,-0.0002985,7.683e-14,11131
6,14.8118468,0.3637312188,0.3811025214,8.066737975,-4.55817,0.595162038,2.468641133,69.85737696,continuation,3,0.1,-0.0006004,2.887e-15,11131
